task;students
1;5036
2;4968
3;4347
4;4025
5;3517
6;3373
7;3271
8;2879
9;2802
10;2859
11;2783
12;2674
13;2613
14;2600
15;2477
16;2429
17;2094
18;2378
19;2364
20;2363
21;2354
22;1341
23;2257
24;2208
25;1291
26;2103
27;1926
28;1862
29;1774
30;1727
31;1768
32;1686
33;1543
34;1458
35;1434
36;1406
37;1309
38;1058
39;896
40;714
41;1368
42;1340
43;661
44;1124
45;1115
46;1063
47;1053
48;1083
49;1053
50;988
51;982
52;962
53;957
54;947
55;919
56;883
57;895
58;841
59;861
60;800
61;826
62;790
63;921
64;810
65;721
66;713
67;673
68;554
69;788
70;770
71;771
72;630
73;758
74;753
75;705
76;673
77;492
78;704
79;688
80;462
81;529
82;516
83;509
84;502
85;475
86;455
87;501
88;492
89;483
90;478
91;449
92;434
93;432
94;421
95;435
96;386
97;338
98;400
99;436
100;430
101;421
102;383
103;381
104;338
105;293
106;396
107;391
108;350
109;300
110;348
111;389
112;377
113;367
114;269
115;259
116;336
117;322
118;315
119;235
120;284
121;194
122;197
123;340
124;316
125;312
126;195
127;180
128;195
129;188
130;177
131;167
132;298
133;311
134;301
135;247
136;242
137;213
138;207
139;200
140;203
141;227
142;224
143;163
144;150
145;131
